position,heaps,depth,algo,reps,avg_nodes,avg_time_ms,move_heap,move_remove
1-3-5-7,4,2,minimax,30,222,0.002004,0,1
1-3-5-7,4,2,alphabeta,30,222,0.010863,3,7
1-3-5-7,4,3,minimax,30,2338,0.016858,0,1
1-3-5-7,4,3,alphabeta,30,719,0.074480,3,7
1-3-5-7,4,4,minimax,30,19676,0.139075,0,1
1-3-5-7,4,4,alphabeta,30,3273,0.154607,3,7
1-3-5-7,4,5,minimax,30,133588,0.952428,0,1
1-3-5-7,4,5,alphabeta,30,5723,0.300532,3,7
1-3-5-7,4,6,minimax,30,736080,5.628402,0,1
1-3-5-7,4,6,alphabeta,30,21144,0.858021,3,7
1-3-5-7,4,7,minimax,30,3304472,25.891643,0,1
1-3-5-7,4,7,alphabeta,30,22743,0.817611,3,7
1-3-5-7,4,8,minimax,30,12113274,98.813754,0,1
1-3-5-7,4,8,alphabeta,30,78322,2.713323,3,6
1-3-5-7,4,9,minimax,30,36295050,304.428060,0,1
1-3-5-7,4,9,alphabeta,30,68927,1.955559,3,6
1-3-5-7,4,10,minimax,30,88941702,767.273864,0,1
1-3-5-7,4,10,alphabeta,30,216604,6.421032,1,3
